figure_id,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Notes,,,,,,,,
2138798,no,no,no,no,no,no, ,,,,,2138797.jpg,,2138798,1
2138799,no,no,no,no,no,no, ,,,,,2138798.jpg,,2138799,1
2138800,no,no,no,no,no,no, ,,,,,2138799.jpg,,2138800,1
2138814,no,no,no,no,no,no, ,,,,,2138800.jpg,,2138814,1
2138815,no,no,no,no,no,no, ,,,,,2138814.jpg,,2138815,1
2138818,no,no,no,no,no,no, ,,,,,2138815.jpg,,2138818,1
2138826,no,no,no,no,no,no, ,,,,,2138818.jpg,,2138826,1
2138829,no,no,no,no,no,no, ,,,,,2138826.jpg,,2138829,1
2138836,no,no,no,no,no,no, ,,,,,2138829.jpg,,2138836,1
2138837,no,no,yes,yes,no,no, ,,,,,2138836.jpg,,2138837,1
2138838,no,no,no,no,no,no, ,,,,,2138837.jpg,,2138838,1
2138839,no,no,no,no,no,no, ,,,,,2138838.jpg,,2138839,1
2138840,no,no,no,no,no,no, ,,,,,2138839.jpg,,2138840,1
2138845,no,no,no,no,no,no, ,,,,,2138840.jpg,,2138845,1
2138849,no,no,no,yes,no,no, RNA low quality,,,,,2138845.jpg,,2138849,1
2138853,no,no,no,no,no,no, ,,,,,2138849.jpg,,2138853,1
2138856,no,no,no,no,no,no, ,,,,,2138853.jpg,,2138856,1
2138857,no,no,no,no,no,no, ,,,,,2138856.jpg,,2138857,1
2138863,no,no,no,no,no,no, ,,,,,2138857.jpg,,2138863,1
2138864,no,no,no,no,no,no, ,,,,,2138863.jpg,,2138864,1
2138875,no,no,no,no,no,no, ,,,,,2138864.jpg,,2138875,1
2138876,no,no,no,no,no,no, ,,,,,2138875.jpg,,2138876,1
2138877,no,no,no,no,no,no, ,,,,,2138876.jpg,,2138877,1
2138878,no,no,no,no,no,no, ,,,,,2138877.jpg,,2138878,1
2138879,no,no,no,no,no,no, ,,,,,2138878.jpg,,2138879,1
2138892,no,no,no,no,no,no, ,,,,,2138879.jpg,,2138892,1
2138893,no,no,no,no,no,no, ,,,,,2138892.jpg,,2138893,1
2138894,no,no,no,no,no,no, ,,,,,2138893.jpg,,2138894,1
2138895,no,no,no,no,no,no, ,,,,,2138894.jpg,,2138895,1
2138908,no,no,no,no,no,no, ,,,,,2138895.jpg,,2138908,1
2138909,no,no,no,no,no,no, ,,,,,2138908.jpg,,2138909,1
2138910,no,no,no,no,no,no, ,,,,,2138909.jpg,,2138910,1
2138917,no,no,no,no,no,no, ,,,,,2138910.jpg,,2138917,1
2138919,no,no,no,no,no,no, ,,,,,2138917.jpg,,2138919,1
2138926,no,no,yes,yes,no,no, ,,,,,2138919.jpg,,2138926,1
2138935,no,no,no,no,no,no, ,,,,,2138926.jpg,,2138935,1
2138936,no,no,no,no,no,no, ,,,,,2138935.jpg,,2138936,1
2138944,no,no,no,no,no,no, ,,,,,2138936.jpg,,2138944,1
2139235,no,no,no,no,no,no, ,,,,,2138944.jpg,,2139235,1
2139875,no,no,no,no,no,no, ,,,,,2139235.jpg,,2139875,1
2139879,no,no,no,no,no,no, ,,,,,2139875.jpg,,2139879,1
2139883,no,no,yes,yes,no,no, ,,,,,2139879.jpg,,2139883,1
2139896,no,no,no,no,no,no, ,,,,,2139883.jpg,,2139896,1
2139976,no,no,no,no,no,no, ,,,,,2139896.jpg,,2139976,1
2140574,no,no,no,no,no,no,,,,,,2139976.jpg,,2140574,1
2140578,no,no,no,no,no,no,,,,,,,,2140578,1
2140583,yes,yes,no,yes,no,no,,,,,,,,2140583,1
2140666,no,no,no,no,no,no,,,,,,,,2140666,1
2140667,no,no,no,no,no,no,,,,,,,,2140667,1
2140668,no,no,no,no,no,no,,,,,,,,2140668,1
2140678,no,no,no,no,no,no,,,,,,,,2140678,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2138571,no,no,no,no,no,no,,,,,,,,,
