figure_id,Collection,Compartment
2138134,CPTI000567,VNC
2138135,CPTI000567,MB
2138136,CPTI000567,CB
2138137,CPTI002853,overview
2138138,CPTI002853,CB
2138139,CPTI002853,VNC
2138140,CPTI002853,MB
2138141,CPTI004362,VNC
2138142,CPTI000640,NMJ
2138143,CPTI003323,NMJ
2138144,CPTI000031,NMJ
2138145,CPTI003394,NMJ
2138146,CPTI003490,NMJ
2138147,CPTI002342,CB
2138151,CPTI002342,MB
2138154,CPTI003501,NMJ
2138155,CPTI001455,NMJ
2138156,CPTI002853,OL
2138157,CPTI000194,overview
2138158,CPTI000194,VNC
2138159,CPTI000194,MB
2138160,CPTI000194,OL
2138161,CPTI000194,CB
2138162,CPTI000199,VNC
2138163,CPTI002853,NMJ
2138164,CPTI003911,NMJ
2138165,CPTI002408,CB
2138166,CPTI001693,CB
2138167,CPTI001693,MB
2138168,CPTI001693,OL
2138169,CPTI003923,NMJ
2138170,CPTI002789,overview
2138171,CPTI001693,VNC
2138172,CPTI002789,OL
2138173,CPTI002789,MB
2138174,CPTI002789,CB
2138175,CPTI002789,NMJ
2138176,CPTI002761,overview
2138177,CPTI002761,VNC
2138178,CPTI002761,OL
2138179,CPTI002761,MB
2138180,CPTI002761,CB
2138181,CPTI001056,VNC
2138182,CPTI000161,overview
2138185,CPTI003605,NMJ
2138190,CPTI001039,overview
2138191,CPTI002772,NMJ
2138196,CPTI002085,NMJ
2138198,CPTI002049,NMJ
2138200,CPTI003522,NMJ
2138201,CPTI004071,NMJ
2138202,CPTI001284,NMJ
2138203,CPTI002786,NMJ
2138204,CPTI000836,NMJ
2138205,CPTI002646,NMJ
2138206,CPTI001993,NMJ
2138207,CPTI100012,NMJ
2138208,CPTI001740,NMJ
2138209,CPTI001473,NMJ
2138210,CPTI003231,NMJ
2138211,CPTI000727,NMJ
2138212,CPTI001427,NMJ
2138213,CPTI001309,NMJ
2138214,CPTI003669,NMJ
2138215,CPTI100013,NMJ
2138216,CPTI003917,NMJ
2138217,CPTI001430,NMJ
2138218,CPTI001678,NMJ
2138219,CPTI003532,NMJ
2138220,CPTI002562,NMJ
2138221,CPTI004362,NMJ
2138222,CPTI100044,NMJ
2138223,CPTI001659,NMJ
2138224,CPTI001279,NMJ
2138225,CPTI002264,NMJ
2138226,CPTI001580,NMJ
2138227,CPTI001693,NMJ
2138228,CPTI001880,NMJ
2138229,CPTI002152,OL
2138230,CPTI001414,NMJ
2138231,CPTI004394,NMJ
2138232,CPTI002805,NMJ
2138234,CPTI001918,NMJ
2138235,CPTI001015,NMJ
2138236,CPTI001595,NMJ
2138237,CPTI002406,NMJ
2138238,CPTI000760,NMJ
2138239,CPTI100051,NMJ
2138240,CPTI000748,NMJ
2138241,CPTI003173,overview
2138242,CPTI001728,NMJ
2138243,CPTI000031,OL
2138244,CPTI000161,NMJ
2138245,CPTI003339,CB
2138246,CPTI003339,VNC
2138247,CPTI003339,overview
2138248,CPTI003339,MB
2138249,CPTI000207,overview
2138250,CPTI001308,MB
2138251,CPTI001308,overview
2138252,CPTI001308,CB
2138253,CPTI001308,OL
2138254,CPTI001308,VNC
2138255,CPTI001586,MB
2138256,CPTI001586,CB
2138257,CPTI001586,OL
2138258,CPTI001586,VNC
2138259,CPTI001771,MB
2138260,CPTI001771,overview
2138261,CPTI001039,NMJ
2138262,CPTI001771,OL
2138263,CPTI001771,VNC
2138264,CPTI003100,MB
2138265,CPTI003100,overview
2138266,CPTI003100,CB
2138267,CPTI003100,OL
2138268,CPTI003100,VNC
2138269,CPTI000199,NMJ
2138270,CPTI000239,NMJ
2138271,CPTI002305,CB
2138273,CPTI000850,NMJ
2138274,CPTI000850,CB
2138275,CPTI000850,MB
2138277,CPTI000850,overview
2138278,CPTI000199,MB
2138279,CPTI002818,CB
2138280,CPTI000033,CB
2138281,CPTI001284,overview
2138305,CPTI002578,VNC
2138306,CPTI002805,overview
2138307,CPTI000748,VNC
2138308,CPTI002578,MB
2138309,CPTI002578,CB
2138310,CPTI003472,VNC
2138311,CPTI002324,MB
2138312,CPTI003490,OL
2138313,CPTI000748,MB
2138314,CPTI000748,CB
2138315,CPTI000640,CB
2138316,CPTI100035,MB
2138317,CPTI100043,CB
2138318,CPTI001580,CB
2138319,CPTI003911,overview
2138320,CPTI002578,overview
2138321,CPTI002578,OL
2138322,CPTI001261,CB
2138323,CPTI001261,overview
2138324,CPTI001261,OL
2138325,CPTI001261,VNC
2138326,CPTI001261,MB
2138327,CPTI100043,OL
2138328,CPTI001580,overview
2138329,CPTI000286,MB
2138330,CPTI000337,CB
2138331,CPTI000337,VNC
2138332,CPTI002796,OL
2138333,CPTI002796,VNC
2138334,CPTI003426,VNC
2138335,CPTI003684,overview
2138336,CPTI003684,VNC
2138337,CPTI003426,MB
2138338,CPTI000739,MB
2138339,CPTI003426,OL
2138340,CPTI002324,VNC
2138341,CPTI002443,MB
2138342,CPTI002645,overview
2138343,CPTI002645,CB
2138344,CPTI002645,VNC
2138345,CPTI002645,MB
2138346,CPTI002645,OL
2138347,CPTI001081,overview
2138348,CPTI001081,MB
2138349,CPTI001081,OL
2138350,CPTI001685,VNC
2138351,CPTI002796,overview
2138352,CPTI001277,OL
2138353,CPTI003490,CB
2138354,CPTI000033,OL
2138355,CPTI002324,OL
2138356,CPTI003923,CB
2138357,CPTI002342,OL
2138358,CPTI004071,MB
2138359,CPTI001457,OL
2138360,CPTI004071,overview
2138361,CPTI001709,CB
2138362,CPTI001709,OL
2138363,CPTI001709,MB
2138364,CPTI001709,VNC
2138365,CPTI100045,VNC
2138366,CPTI003745,MB
2138367,CPTI100012,overview
2138368,CPTI000252,overview
2138369,CPTI100012,VNC
2138370,CPTI002939,CB
2138371,CPTI000239,CB
2138372,CPTI004179,CB
2138373,CPTI001995,overview
2138374,CPTI000077,CB
2138375,CPTI001580,VNC
2138376,CPTI003957,MB
2138377,CPTI003588,OL
2138378,CPTI003733,overview
2138379,CPTI003733,VNC
2138380,CPTI003923,overview
2138381,CPTI003923,OL
2138382,CPTI002889,VNC
2138383,CPTI001595,overview
2138384,CPTI003532,overview
2138385,CPTI004117,VNC
2138386,CPTI000199,overview
2138387,CPTI002828,MB
2138388,CPTI002828,CB
2138389,CPTI002049,overview
2138390,CPTI000037,overview
2138391,CPTI003806,VNC
2138392,CPTI000337,MB
2138393,CPTI003605,MB
2138394,CPTI003785,overview
2138395,CPTI000688,overview
2138396,CPTI003957,overview
2138397,CPTI100012,MB
2138398,CPTI100012,OL
2138399,CPTI100012,CB
2138400,CPTI003091,MB
2138401,CPTI002796,CB
2138402,CPTI004179,overview
2138403,CPTI000332,overview
2138404,CPTI003426,CB
2138405,CPTI001595,OL
2138406,CPTI002772,CB
2138407,CPTI001595,VNC
2138408,CPTI100043,MB
2138409,CPTI000633,overview
2138410,CPTI000944,OL
2138411,CPTI000944,MB
2138412,CPTI000944,VNC
2138413,CPTI000944,overview
2138414,CPTI003231,OL
2138415,CPTI003231,MB
2138416,CPTI003231,VNC
2138417,CPTI003231,overview
2138418,CPTI000433,CB
2138419,CPTI000433,OL
2138420,CPTI000433,MB
2138421,CPTI000433,VNC
2138422,CPTI004394,CB
2138423,CPTI004394,OL
2138424,CPTI004394,MB
2138425,CPTI100044,CB
2138426,CPTI100044,MB
2138427,CPTI100044,VNC
2138428,CPTI100044,overview
2138429,CPTI001728,CB
2138430,CPTI001728,OL
2138431,CPTI001728,MB
2138432,CPTI001728,VNC
2138433,CPTI001728,overview
2138434,CPTI003490,VNC
2138435,CPTI000472,CB
2138436,CPTI000472,OL
2138437,CPTI000472,MB
2138438,CPTI000472,VNC
2138439,CPTI000472,overview
2138440,CPTI002102,OL
2138441,CPTI000877,CB
2138442,CPTI000877,OL
2138443,CPTI000877,MB
