figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2137943,High,High,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137947,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,yes,yes,,,
2137953,High,Moderate,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137954,High,Low,Low,Moderate,Yes,Yes,Yes,No,No,No,no,no,no,yes,,no,no,no,no,,yes,yes,,,
2137955,High,Moderate,Moderate,High,No,Yes,Yes,No,Yes,No,no,no,yes,yes,,no,no,no,no,,yes,yes,,,
2137956,Low,Moderate,Moderate,Low,Yes,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137957,Low,High,None,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137958,Low,Moderate,Low,None,No,Yes,Yes,No,No,No,no,no,no,no,,no,yes,no,no,,no,no,,,
2137959,High,Low,Low,High,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137960,Moderate,Low,Moderate,None,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137961,Moderate,Moderate,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137962,Moderate,Moderate,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137963,Moderate,Low,Moderate,Moderate,No,Yes,No,Yes,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2137965,High,High,Low,High,No,Yes,No,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137970,High,Low,Low,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137971,Moderate,Low,Low,Moderate,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137972,Low,Low,None,Low,No,No,Yes,Yes,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2137973,High,Moderate,Moderate,High,No,Yes,Yes,Yes,Yes,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2137974,High,Moderate,Moderate,High,Yes,Yes,Yes,No,Yes,Yes,yes,no,yes,yes,,no,no,no,no,,no,no,,,
2137976,Moderate,Moderate,High,Low,No,Yes,Yes,No,No,No,no,no,no,no,,yes,yes,no,no,,no,no,,,
2137978,Low,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137981,Moderate,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2137983,Low,Moderate,Moderate,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138009,Low,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
