figure_id,What is the level of RNA expression in MB?,What is the level of protein expression in MB?,Nascent transcript level in MB,Cytosolic RNA level in MB,Is there obvious RNA/protein discordance (whole image- MB)?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB neuropil?,Is protein present in MB neuropil?,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Protein in MB nucleus,,,Is RNA present in MB neuropil?,Is protein present in MB neuropil?
2138457,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138462,High,Low,High,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138464,High,Low,High,High,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138468,Low,Moderate,Low,Low,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,yes,no
2138473,Moderate,High,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138491,Moderate,Low,Moderate,Moderate,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138496,Moderate,Moderate,Low,Moderate,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,Yes,No
2138505,High,Moderate,Moderate,High,Yes,Yes,Yes,yes,yes,no,no,yes,yes,no,no,no,,,yes,no
2138506,High,High,High,High,Yes,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138516,Moderate,Low,Moderate,Moderate,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138519,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138521,Low,Moderate,High,Low,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,yes,no
2138526,Low,Low,Moderate,Low,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138535,Low,None,Low,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,no
2138540,High,Low,High,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,yes,no
2138545,Moderate,Low,Low,Moderate,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,no
2138550,Moderate,Low,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,yes,no
2138554,Low,Low,Low,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138558,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,No,Yes
2138566,Low,Moderate,Low,Low,No,Yes,Yes,no,no,no,no,no,yes,no,no,no,,,No,Yes
2138576,Low,Low,Low,Low,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138579,None,Low,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138585,Moderate,Low,Moderate,Moderate,No,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138590,Moderate,None,Moderate,Moderate,No,Yes,No,yes,no,no,no,no,no,no,no,yes,,,No,Yes
2138594,Moderate,Moderate,Moderate,Moderate,Yes,Yes,No,yes,yes,no,no,no,no,no,no,yes,,,No,Yes
2138599,Moderate,High,High,Moderate,Yes,Yes,No,Yes,No,no,no,no,no,no,no,yes,,,No,Yes
2138616,Low,Low,None,Low,No,No,Yes,no,no,no,no,no,no,no,no,no,,,No,Yes
2138622,High,High,High,High,Yes,Yes,No,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138624,Low,None,Low,Low,No,Yes,No,No,No,no,no,no,no,no,no,no,,,no,yes
2138627,Low,Moderate,Low,Low,Yes,Yes,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138631,Low,Low,Low,Low,No,No,No,no,yes,no,no,no,no,no,no,no,,,No,Yes
2138633,Low,Moderate,Low,Low,Yes,Yes,Yes,no,yes,no,no,yes,yes,no,no,no,,,no,yes
2138644,Low,None,Low,Moderate,Yes,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138648,High,Moderate,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,yes,,,no,yes
2138658,Moderate,Low,Moderate,Moderate,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138659,Moderate,Moderate,Low,Moderate,Yes,Yes,No,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138660,Low,None,Low,Low,No,No,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138662,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,yes,no,no,no,,,no,yes
2138669,Moderate,Low,Low,Low,Yes,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138677,High,High,High,High,No,Yes,Yes,Yes,No,no,no,no,no,no,no,no,,,No,Yes
2138680,Low,High,Moderate,Low,No,No,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138682,Low,Low,Moderate,Low,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138693,Moderate,Moderate,Low,Moderate,No,Yes,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138706,Moderate,Moderate,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,yes,,,no,yes
2138724,High,High,High,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138726,Moderate,Low,Moderate,Moderate,Yes,Yes,No,yes,no,no,no,yes,yes,no,no,no,,,No,Yes
2138728,None,Low,None,None,No,No,No,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138731,High,High,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138736,Low,Low,Low,Low,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138744,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138747,Moderate,Low,Low,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138750,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,yes,,,No,Yes
2138754,Low,Low,None,Low,No,No,No,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138756,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138758,Low,Low,Moderate,Low,Yes,No,No,No,No,no,no,yes,yes,no,no,no,,,no,yes
2138765,Moderate,Moderate,Low,Moderate,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138772,High,Low,Moderate,High,Yes,Yes,No,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138795,Moderate,Low,Low,Moderate,Yes,Yes,No,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138796,High,High,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138797,High,Moderate,Moderate,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,no,yes
2138798,High,High,Low,High,Yes,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,no,yes
2138799,Low,Low,None,Low,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138800,Moderate,High,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138814,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,No,Yes
2138815,Moderate,Moderate,Moderate,Moderate,No,No,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138818,Moderate,High,Moderate,Moderate,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138826,Moderate,Moderate,Low,Moderate,No,No,No,No,No,no,no,no,no,no,no,no,,,no,yes
2138829,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,yes,no,no,no,no,no,no,no,yes,,,No,Yes
2138836,High,Moderate,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138837,Moderate,High,Low,Moderate,No,Yes,Yes,No,No,no,no,yes,yes,no,no,no,,,No,Yes
2138838,High,High,Low,High,No,Yes,Yes,no,yes,no,no,no,no,no,no,no,,,No,Yes
2138839,High,Moderate,High,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,No,Yes
2138840,High,Low,Moderate,High,No,Yes,Yes,yes,no,no,no,no,no,no,no,no,,,No,Yes
2138845,None,Moderate,None,None,No,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,No,Yes
2138849,None,Low,None,None,No,No,Yes,No,No,no,no,no,yes,no,no,no,,,No,Yes
2138853,Low,Low,Low,Low,No,No,No,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138856,High,High,Moderate,High,No,Yes,Yes,yes,yes,no,no,no,no,no,no,no,,,No,Yes
2138857,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,No,Yes
2138863,High,High,Moderate,High,No,Yes,Yes,No,No,no,no,no,no,no,no,no,,,No,Yes
2138864,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138875,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,No,Yes
2138876,High,High,Low,High,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138877,High,High,High,High,Yes,Yes,No,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138878,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138879,High,High,Moderate,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2138892,Moderate,Low,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138893,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138894,Low,None,Low,Low,No,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138895,Moderate,Low,Low,Moderate,No,No,No,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138908,Low,Low,High,Low,Yes,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138909,Low,Low,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2138910,High,High,Low,High,No,Yes,Yes,no,no,no,no,no,no,no,no,no,,,Yes,Yes
2138917,High,Moderate,Moderate,High,No,Yes,No,no,no,no,no,no,no,no,no,yes,,,yes,yes
2138919,Low,Moderate,Low,Low,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138926,High,Moderate,High,High,No,Yes,Yes,No,Yes,no,no,yes,yes,no,no,no,,,Yes,Yes
2138935,High,High,High,High,Yes,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2138936,None,High,None,None,Yes,No,Yes,No,Yes,no,no,no,no,no,no,yes,,,yes,yes
2138944,High,High,High,High,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,yes,yes
2139235,Moderate,Moderate,High,Moderate,No,Yes,No,no,no,no,no,no,no,no,no,yes,,,yes,yes
2139875,High,High,Low,High,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,yes,yes
2139879,High,None,Low,High,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2139883,High,High,Moderate,High,No,Yes,Yes,No,Yes,no,no,yes,yes,no,no,no,,,yes,yes
2139896,High,Moderate,High,High,No,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2139976,Moderate,High,Low,Moderate,No,Yes,Yes,No,Yes,no,no,no,no,no,no,no,,,Yes,Yes
2140574,None,None,None,None,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2140578,Moderate,Moderate,High,Moderate,No,Yes,No,no,no,no,no,no,no,no,no,no,,,yes,yes
2140583,Low,Low,Low,Low,No,No,No,No,Yes,yes,yes,yes,yes,yes,yes,no,,,Yes,Yes
2140666,None,None,None,None,No,No,No,no,no,no,no,no,no,no,no,no,,,Yes,Yes
2140667,Low,None,Low,Low,No,No,No,No,No,no,no,no,no,no,no,no,,,yes,yes
2140668,High,High,Moderate,High,No,Yes,Yes,No,No,no,no,no,no,no,no,yes,,,Yes,Yes
2140678,Low,None,Low,Low,Yes,Yes,No,No,No,no,no,no,no,no,no,no,,,Yes,Yes
