FBgn,figure_id,RNA_CB,protein_CB,punctate_CB,Comments,,,,,,,Final,,
FBgn0004177,2138923,both,both,no,global expression,,,,,,,FBgn0085451,1,1
FBgn0265523,2138927,both,both,no,global expression,,,,,,,FBgn0263391,1,1
FBgn0016685,2138939,both,both,no,global expression,,,,,,,FBgn0031294,1,1
FBgn0000253,2138945,both,both,no,global expression,,,,,,,FBgn0001250,1,1
FBgn0259176,2140584,both,both,,global expression,,,,,,,FBgn0285926,1,1
FBgn0053293,2139974,both,both,,global expression,,,,,,,FBgn0036816,1,1
FBgn0034282,2139876,both,both,,global expression,,,,,,,FBgn0051363,1,1
FBgn0003371,2139884,both,both,,global expression,,,,,,,FBgn0040207,1,1
FBgn0037073,2137768,no,no,no,not expressed,,,,,,,FBgn0004167,1,1
FBgn0037110,2137775,no,no,no,not expressed,,,,,,,FBgn0259984,1,1
FBgn0267376,2137890,no,no,no,not expressed,,,,,,,FBgn0028341,1,1
FBgn0010316,2137924,no,no,no,not expressed,,,,,,,FBgn0028327,1,1
FBgn0004878,2137933,no,no,no,not expressed,,,,,,,FBgn0032949,1,1
FBgn0000097,2138019,no,no,no,not expressed,,,,,,,FBgn0261618,1,1
FBgn0262733,2138136,no,no,no,not expressed,,,,,,,FBgn0063485,1,1
FBgn0015774,2138314,no,no,no,not expressed,,,,,,,FBgn0283521,1,1
FBgn0022382,2138318,no,no,no,not expressed,,,,,,,FBgn0053087,1,1
FBgn0021764,2138330,no,no,no,not expressed,,,,,,,FBgn0002645,1,1
FBgn0259143,2138356,no,no,no,not expressed,,,,,,,FBgn0034282,1,1
FBgn0001098,2138361,no,no,no,not expressed,,,,,,,FBgn0015513,1,1
FBgn0033446,2138399,no,no,no,not expressed,,,,,,,FBgn0262559,1,1
FBgn0004167,2138429,no,no,no,not expressed,,,,,,,FBgn0004456,1,1
FBgn0036449,2138435,no,no,no,not expressed,,,,,,,FBgn0023509,1,1
FBgn0026533,2138471,no,no,,not expressed,,,,,,,FBgn0002772,1,1
FBgn0023407,2138476,no,no,no,not expressed,,,,,,,FBgn0023215,1,1
FBgn0263997,2138511,no,no,no,not expressed,,,,,,,FBgn0261836,1,1
FBgn0004872,2138525,no,no,no,not expressed,,,,,,,FBgn0004647,1,1
FBgn0041605,2138547,no,no,no,not expressed,,,,,,,FBgn0261617,1,1
FBgn0031268,2138623,no,no,no,not expressed,,,,,,,FBgn0015773,1,1
FBgn0261722,2138655,no,no,no,not expressed,,,,,,,FBgn0015774,1,1
FBgn0284408,2138664,no,no,no,not expressed,,,,,,,FBgn0265140,1,1
FBgn0040207,2138678,no,no,no,not expressed,,,,,,,FBgn0016685,1,1
FBgn0264442,2138714,no,no,no,not expressed,,,,,,,FBgn0011817,1,1
FBgn0052685,2138745,no,no,no,not expressed,,,,,,,FBgn0004227,1,1
FBgn0037707,2138751,no,no,no,not expressed,,,,,,,FBgn0264975,1,1
FBgn0000183,2138753,no,no,no,not expressed,,,,,,,FBgn0015776,1,1
FBgn0030870,2138813,no,no,no,not expressed,,,,,,,FBgn0015777,1,1
FBgn0000053,2138848,no,no,no,not expressed,,,,,,,FBgn0013997,1,1
FBgn0028622,2138852,no,no,no,not expressed,,,,,,,FBgn0264307,1,1
FBgn0002772,2138861,no,no,no,not expressed,,,,,,,FBgn0037110,1,1
FBgn0028327,2138890,no,no,no,not expressed,,,,,,,FBgn0261885,1,1
FBgn0000721,2138896,no,no,no,not expressed,,,,,,,FBgn0004839,1,1
FBgn0266098,2138905,no,no,no,not expressed,,,,,,,FBgn0031990,1,1
FBgn0024989,2138906,no,no,no,not expressed,,,,,,,FBgn0041789,1,1
FBgn0264307,2138921,no,no,no,not expressed,,,,,,,FBgn0003041,1,1
FBgn0011763,2138928,no,no,no,not expressed,,,,,,,FBgn0286818,1,1
FBgn0030521,2138938,no,no,no,not expressed,,,,,,,FBgn0030400,1,1
FBgn0034075,2139880,no,no,,not expressed,,,,,,,FBgn0004872,1,1
FBgn0263037,2140679,no,no,,not expressed,,,,,,,FBgn0022382,1,1
FBgn0015221,2140669,no,no,,not expressed,,,,,,,FBgn0259214,1,1
FBgn0029687,2140575,no,no,,not expressed,,,,,,,FBgn0036239,1,1
FBgn0013733,2137928,both,progeny,no,posttranscriptional regulation,,,,,,,FBgn0005777,1,1
FBgn0031294,2138055,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0261552,1,1
FBgn0261552,2138322,both,progeny,no,posttranscriptional regulation,,,,,,,FBgn0014007,1,1
FBgn0263396,2138371,both,progeny,no,posttranscriptional regulation,,,,,,,FBgn0003165,1,1
FBgn0003261,2138372,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0011828,1,1
FBgn0259212,2138460,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0022986,1,1
FBgn0015790,2138548,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0028622,1,1
FBgn0261090,2138574,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0285937,1,1
FBgn0027529,2138708,both,progeny,,posttranscriptional regulation,,,,,,,FBgn0266098,1,1
FBgn0023509,2138722,both,progeny,no,posttranscriptional regulation,,,,,,,FBgn0003261,1,1
FBgn0022986,2138786,both,progeny,yes,posttranscriptional regulation,,,,,,,FBgn0037707,1,1
FBgn0285926,2138832,both,progeny,no,posttranscriptional regulation,,,,,,,FBgn0036213,1,1
FBgn0263930,2137758,,,,transcriptional regulation,,,,,,,FBgn0010415,1,1
FBgn0000635,2137781,,,,transcriptional regulation,,,,,,,FBgn0021764,1,1
FBgn0015773,2137792,,,,transcriptional regulation,,,,,,,FBgn0267376,1,1
FBgn0026721,2137811,,,,transcriptional regulation,,,,,,,FBgn0016059,1,1
FBgn0001145,2137896,progeny,progeny,no,transcriptional regulation,,,,,,,FBgn0003371,1,1
FBgn0015776,2137900,,,,transcriptional regulation,,,,,,,FBgn0052423,1,1
FBgn0053087,2137907,,,,transcriptional regulation,,,,,,,FBgn0013733,1,1
FBgn0011224,2137969,,,,transcriptional regulation,,,,,,,FBgn0003435,1,1
FBgn0011828,2138024,,,,transcriptional regulation,,,,,,,FBgn0023167,1,1
FBgn0027356,2138174,,,,transcriptional regulation,,,,,,,FBgn0265523,1,1
FBgn0031307,2138271,,,,transcriptional regulation,,,,,,,FBgn0016977,1,1
FBgn0003041,2138274,,,,transcriptional regulation,,,,,,,FBgn0010905,1,1
FBgn0259244,2138280,,,,transcriptional regulation,,,,,,,FBgn0263396,1,1
FBgn0016797,2138353,progeny,no,no,transcriptional regulation,,,,,,,FBgn0262733,1,1
FBgn0003435,2138388,progeny,progeny,no,transcriptional regulation,,,,,,,FBgn0266521,1,1
FBgn0010217,2138441,,,,transcriptional regulation,,,,,,,FBgn0003459,1,1
FBgn0036816,2138451,,,,transcriptional regulation,,,,,,,FBgn0261090,1,1
FBgn0010905,2138503,,,,transcriptional regulation,,,,,,,FBgn0003676,1,1
FBgn0004924,2138529,,,,transcriptional regulation,,,,,,,FBgn0266579,1,1
FBgn0015777,2138563,,,,transcriptional regulation,,,,,,,FBgn0004449,1,1
FBgn0011206,2138767,,,,transcriptional regulation,,,,,,,FBgn0003716,1,1
FBgn0035533,2138770,,,,transcriptional regulation,,,,,,,FBgn0003721,1,1
FBgn0029939,2138776,,,,transcriptional regulation,,,,,,,FBgn0082582,1,1
FBgn0001235,2138782,progeny,progeny,no,transcriptional regulation,,,,,,,FBgn0004924,1,1
FBgn0001987,2138787,,,,transcriptional regulation,,,,,,,FBgn0284408,1,1
FBgn0036213,2138831,progeny,progeny,no,transcriptional regulation,,,,,,,FBgn0020653,1,1
FBgn0261836,2138922,,,,transcriptional regulation,,,,,,,FBgn0037073,1,1
FBgn0020660,2139986,,,,transcriptional regulation,,,,,,,FBgn0011725,1,1
FBgn0000636,2140581,,,,transcriptional regulation,,,,,,,FBgn0029687,1,1
FBgn0001124,2140671,,,,transcriptional regulation,,,,,,,FBgn0005671,1,1
FBgn0001250,2140670,,,,transcriptional regulation,,,,,,,FBgn0022960,1,1
FBgn0036337,2138499,both,both,no,global expression,,,,,,,FBgn0265434,1,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,199,200
,,,,,,,,,,,,,,
FBgn0033166,2138569,both,both,yes,global expression,,,,,,,,,
