FBgID,CPTI,gene_name,figure_id,RNA_NMJ_axon,protein_NMJ_axon,Localized RNA,Localized Protein,,Both,RNA only,Protein only,,figure_id,Is RNA present in axon terminal?,,,figure_id,Is protein present in axon terminal?,,,,Is RNA present in post synaptic density?,,,,Is protein present in post synaptic density?,
FBgn0015776,CPTI000925,nrv1,2137878,no,no,,,,,,,,2137913,No,1,,2137913,No,1,,,No,,,,Yes,
FBgn0259244,CPTI000033,CG42342,2137880,no,no,,,,,,,,2137914,No,1,,2137914,No,1,,,No,,,,No,
FBgn0003676,CPTI000037,T-cp1,2137881,no,no,,,,,,,,2137916,Yes,0,,2137916,No,1,,,Yes,,,,No,
FBgn0015222,CPTI000038,Fer1HCH,2137882,no,no,,,,,,,,2137917,Yes,0,,2137917,No,1,,,Yes,,,,No,
FBgn0041210,CPTI000077,HDAC4,2137883,no,no,,,,,,,,2137918,Yes,0,,2137918,Yes,0,,,Yes,,,,Yes,
FBgn0015229,CPTI000155,glec,2137884,no,no,,,,,,,,2137919,No,1,,2137919,No,1,,,No,,,,No,
FBgn0003261,CPTI004179,Rm62,2137885,no,no,,,,,,,,2137921,Yes,0,,2137921,No,1,,,Yes,,,,Yes,
FBgn0037707,CPTI004189,RnpS1,2137886,no,no,,,,,,,,2137926,No,1,,2137926,No,1,,,No,,,,Yes,
FBgn0036165,CPTI000318,chrb,2137887,no,no,,,,,,,,2137927,No,1,,2137927,No,1,,,Yes,,,,No,
FBgn0032298,CPTI000379,CG6724,2137892,no,no,,,,,,,,2137935,No,1,,2137935,No,1,,,No,,,,No,
FBgn0004647,CPTI000433,N,2137893,no,no,,,,,,,,2137936,No,1,,2137936,No,1,,,No,,,,No,
FBgn0053087,CPTI001046,LRP1,2137908,no,no,,,,,,,,2137938,No,1,,2137938,No,1,,,Yes,,,,Yes,
FBgn0259214,CPTI001995,PMCA,2137913,no,no,,,,,,,,2137939,No,1,,2137939,No,1,,,No,,,,No,
FBgn0002772,CPTI002102,Mlc1,2137914,no,no,,,,,,,,2137942,Yes,0,,2137942,No,1,,,Yes,,,,No,
FBgn0020660,CPTI002187,eIF-4B,2137916,no,no,,,,,,,,2137943,No,1,,2137943,No,1,,,Yes,,,,No,
FBgn0026418,CPTI002201,Hsc70Cb,2137917,no,no,,,,,,,,2137947,Yes,0,,2137947,No,1,,,Non applicable / Missing Image,,,,No,
FBgn0004227,CPTI003091,nonA,2137918,no,no,,,,,,,,2137953,Yes,0,,2137953,No,1,,,Yes,,,,No,
FBgn0037073,CPTI000765,tsr1,2137919,no,no,,,,,,,,2137954,Yes,0,,2137954,No,1,,,Yes,,,,No,
FBgn0031307,CPTI002305,CG4726,2137921,no,no,,,,,,,,2137955,Yes,0,,2137955,No,1,,,Yes,,,,No,
FBgn0261822,CPTI100062,Bsg,2137926,no,no,,,,,,,,2137956,No,1,,2137956,No,1,,,Yes,,,,No,
FBgn0032409,CPTI000286,Ced-12,2137927,no,no,,,,,,,,2137957,No,1,,2137957,No,1,,,No,,,,Yes,
FBgn0030870,CPTI003806,CG6398,2137935,no,no,,,,,,,,2137958,No,1,,2137958,No,1,,,No,,,,No,
FBgn0260003,CPTI003818,Dys,2137936,no,no,,,,,,,,2137959,Yes,0,,2137959,No,1,,,Yes,,,,No,
FBgn0036213,CPTI003957,RpL10Ab,2137938,no,no,,,,,,,,2137960,No,1,,2137960,No,1,,,Yes,,,,No,
FBgn0016059,CPTI003971,Sema-1b,2137939,no,no,,,,,,,,2137961,No,1,,2137961,No,1,,,No,,,,No,
FBgn0001250,CPTI004152,if,2137942,no,no,,,,,,,,2137962,No,1,,2137962,No,1,,,Yes,,,,No,
FBgn0004872,CPTI003588,piwi,2137943,no,no,,,,,,,,2137963,Yes,0,,2137963,No,1,,,Yes,,,,Yes,
FBgn0002645,CPTI003339,Map205,2137947,no,no,,,,,,,,2137965,No,1,,2137965,No,1,,,Yes,,,,Yes,
FBgn0011206,CPTI004519,bol,2137953,no,no,,,,,,,,2137970,Yes,0,,2137970,No,1,,,Yes,,,,No,
FBgn0037110,CPTI002636,ORMDL,2137954,no,no,,,,,,,,2137971,No,1,,2137971,No,1,,,Yes,,,,Yes,
FBgn0005671,CPTI002645,Vha55,2137955,no,no,,,,,,,,2137972,Yes,0,,2137972,No,1,,,Yes,,,,Yes,
FBgn0031883,CPTI002939,Caper,2137956,no,no,,,,,,,,2137973,Yes,0,,2137973,Yes,0,,,Yes,,,,Yes,
FBgn0036816,CPTI003049,Indy,2137957,no,no,,,,,,,,2137974,Yes,0,,2137974,No,1,,,Yes,,,,No,
FBgn0034282,CPTI003020,Mapmodulin,2137958,no,no,,,,,,,,2137976,No,1,,2137976,No,1,,,Yes,,,,No,
FBgn0053293,CPTI003173,CG12163,2137959,no,no,,,,,,,,2137978,No,1,,2137978,No,1,,,No,,,,No,
FBgn0261090,CPTI003250,Sytbeta,2137960,no,no,,,,,,,,2137981,Yes,0,,2137981,No,1,,,Yes,,,,No,
FBgn0261885,CPTI003089,osa,2137961,no,no,,,,,,,,2137983,Yes,0,,2137983,No,1,,,Non applicable / Missing Image,,,,No,
FBgn0261722,CPTI000736,CG6151,2137962,no,no,,,,,,,,2138009,No,1,,2138009,No,1,,,Yes,,,,No,
FBgn0031645,CPTI000774,CG3036,2137965,no,no,,,,,,,,2138060,No,1,,2138060,No,1,,,No,,,,No,
FBgn0004177,CPTI003684,mts,2137970,no,no,,,,,,,,2138061,No,1,,2138061,No,1,,,Yes,,,,No,
FBgn0022960,CPTI002285,vimar,2137971,no,no,,,,,,,,2138070,Yes,0,,2138070,Yes,0,,,Yes,,,,Yes,
FBgn0263594,CPTI002437,growl,2137974,no,no,,,,,,,,2138072,Yes,0,,2138072,No,1,,,Yes,,,,No,
FBgn0001235,CPTI003745,hth,2137976,no,no,,,,,,,,2138073,No,1,,2138073,No,1,,,No,,,,No,
FBgn0015221,CPTI100064,Fer2LCH,2137978,no,no,,,,,,,,2138077,No,1,,2138077,No,1,,,No,,,,No,
FBgn0037007,CPTI001180,BNIP3,2137981,no,no,,,,,,,,2138078,No,1,,2138078,No,1,,,No,,,,No,
FBgn0023509,CPTI003151,mip130,2137983,no,no,,,,,,,,2138081,No,1,,2138081,No,1,,,Yes,,,,Yes,
FBgn0011828,CPTI003897,Pxn,2138009,no,no,,,,,,,,2138082,No,1,,2138082,No,1,,,Yes,,,,No,
FBgn0023167,CPTI100043,SmD3,2138060,no,no,,,,,,,,2138083,No,1,,2138083,No,1,,,No,,,,No,
FBgn0027598,CPTI002324,cindr,2138061,no,no,,,,,,,,2138085,No,1,,2138085,No,1,,,Yes,,,,Yes,
FBgn0261836,CPTI003472,Msp300,2138072,no,no,,,,,,,,2138088,No,1,,2138088,No,1,,,No,,,,No,
FBgn0015513,CPTI000332,mbc,2138073,no,no,,,,,,,,2138090,No,1,,2138090,No,1,,,Yes,,,,No,
FBgn0015773,CPTI002152,NetA,2138077,no,no,,,,,,,,2138092,No,1,,2138092,No,1,,,Yes,,,,Yes,
FBgn0263391,CPTI001589,hts,2138078,no,no,,,,,,,,2138094,No,1,,2138094,No,1,,,Yes,,,,No,
FBgn0001624,CPTI000207,dlg1,2138081,no,no,,,,,,,,2138096,No,1,,2138096,Yes,0,,,No,,,,No,
FBgn0004839,CPTI000252,otk,2138082,no,no,,,,,,,,2138097,No,1,,2138097,No,1,,,Yes,,,,No,
FBgn0000547,CPTI000616,ed,2138083,no,no,,,,,,,,2138098,Yes,0,,2138098,Yes,0,,,Non applicable / Missing Image,,,,No,
FBgn0004449,CPTI001175,Ten-m,2138085,no,no,,,,,,,,2138099,Yes,0,,2138099,No,1,,,Yes,,,,No,
FBgn0010316,CPTI001658,dap,2138088,no,no,,,,,,,,2138100,No,1,,2138100,No,1,,,No,,,,No,
FBgn0020238,CPTI100045,14-3-3epsilon,2138090,no,no,,,,,,,,2138101,No,1,,2138101,No,1,,,Yes,,,,No,
FBgn0000721,CPTI000091,for,2138092,no,no,,,,,,,,2138102,No,1,,2138102,No,1,,,No,,,,No,
FBgn0283521,CPTI000190,lola,2138094,no,no,,,,,,,,2138104,No,1,,2138104,No,1,,,No,,,,No,
FBgn0003459,CPTI000263,stwl,2138097,no,no,,,,,,,,2138106,No,1,,2138106,No,1,,,No,,,,No,
FBgn0027529,CPTI000298,tapas,2138098,no,no,,,,,,,,2138110,No,1,,2138110,No,1,,,Yes,,,,No,
FBgn0001124,CPTI000303,Got1,2138099,no,no,,,,,,,,2138111,No,1,,2138111,No,1,,,No,,,,Yes,
FBgn0021764,CPTI000337,sdk,2138100,no,no,,,,,,,,2138112,No,1,,2138112,No,1,,,Yes,,,,No,
FBgn0026533,CPTI000365,Dek,2138101,no,no,,,,,,,,2138113,Yes,0,,2138113,No,1,,,Yes,,,,Yes,
FBgn0011725,CPTI000371,twin,2138102,no,no,,,,,,,,2138114,No,1,,2138114,No,1,,,Yes,,,,Yes,
